,Tweet Awal,Tweet Bersih
0,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',disat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok bego
1,RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',rt pengguna pengguna siapa yang telat memberi tau kamu edan sarap gue bergaul dengan cigax jifla calis sama siapa itu licew juga
2,"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu ningalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakaku lebih memilih jadi kristen ketika aku anak ter
3,USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',pengguna pengguna aku itu aku dan ku tau matamu sipit tapi dilihat dari mana itu aku
4,USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',pengguna pengguna kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi haha
5,USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',pengguna ya bani taplak dk xf x f x x xf x f x x xf x f x x
6,deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,deklarasi pilihan kepala daerah aman dan anti hoaks warga dukuh sari jabon
7,Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,gue baru saja selesai re watch aldnoah zero paling kampret memang akhirnya karakter utama cowoknya kena friendzone bro xd uniform resource locator
8,"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. �??�; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) �???",nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak mertuaku taipan depan kembar baby amp romantika bank islam senawang
9,USER Enak lg klo smbil ngewe',pengguna enak lagi kalau sambil ngewe
10,"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama bacot kamu xf x f x x f
11,USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,pengguna pengguna pengguna pengguna banci kaleng malu tidak bisa jawab pertanyan kami dari hari lalu nyungsep koe pengguna uniform resource locator
12,Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi pengguna
13,Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,aktor huru hara prabowo si ingin lengserkan pemerintahan jokowi nyata
14,USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',pengguna bu guru enakan jadi jablay atau guru sekolah dasar sih kayaknya menikmati jadi pecun ini guru
